day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-04-23,2.0,u52,2013-04-23,2013-04-23,26.0,26.0,2.176944444444445,0.0
2013-04-30.1,1.0,u52,2013-04-30,2013-04-30,25.0,24.0,0.6966666666666667,2.0
2013-05-16,2.0,u52,2013-05-16,2013-05-16,24.0,24.0,0.4472222222222222,0.0
2013-03-31.3,3.0,u22,2013-03-31,2013-03-31,24.0,24.0,1.929722222222222,1.0
2013-03-31.4,1.0,u22,2013-03-31,2013-03-31,24.0,24.0,1.929722222222222,1.0
2013-03-31.5,4.0,u22,2013-03-31,2013-03-31,24.0,24.0,1.929722222222222,1.0
2013-04-03.7,4.0,u22,2013-04-03,2013-04-03,24.0,24.0,6.009722222222222,0.0
2013-03-27.2,1.0,u22,2013-03-27,2013-03-27,24.0,25.0,4.395277777777778,0.0
2013-03-27.2,1.0,u22,2013-03-27,2013-03-27,24.0,25.0,4.395277777777778,0.0
2013-03-28.2,5.0,u22,2013-03-28,2013-03-28,24.0,24.0,7.053611111111112,0.0
2013-03-28.3,4.0,u22,2013-03-28,2013-03-28,24.0,24.0,7.053611111111112,0.0
2013-03-29.2,1.0,u22,2013-03-29,2013-03-29,24.0,24.0,7.041111111111111,0.0
2013-03-29.3,4.0,u22,2013-03-29,2013-03-29,24.0,24.0,7.041111111111111,0.0
2013-04-01.1,1.0,u22,2013-04-01,2013-04-01,24.0,24.0,0.6863888888888888,0.0
2013-04-02.5,1.0,u22,2013-04-02,2013-04-02,24.0,24.0,3.792222222222222,0.0
2013-04-04.8,1.0,u22,2013-04-04,2013-04-04,24.0,24.0,5.528333333333333,0.0
2013-04-04.9,4.0,u22,2013-04-04,2013-04-04,24.0,24.0,5.528333333333333,0.0
2013-04-05.6,1.0,u22,2013-04-05,2013-04-05,24.0,24.0,8.56611111111111,0.0
2013-04-08.6,5.0,u22,2013-04-08,2013-04-08,24.0,24.0,,1.0
2013-04-08.7,4.0,u22,2013-04-08,2013-04-08,24.0,24.0,,1.0
2013-04-09.5,4.0,u22,2013-04-09,2013-04-09,24.0,24.0,,0.0
2013-04-10.3,4.0,u22,2013-04-10,2013-04-10,24.0,24.0,,0.0
2013-04-11.3,1.0,u22,2013-04-11,2013-04-11,24.0,24.0,,0.0
2013-04-11.4,4.0,u22,2013-04-11,2013-04-11,24.0,24.0,,0.0
2013-04-14.4,1.0,u22,2013-04-14,2013-04-14,24.0,24.0,,0.0
2013-04-03.8,2.0,u50,2013-04-03,2013-04-03,23.0,24.0,2.803888888888889,0.0
2013-03-28.4,1.0,u27,2013-03-28,2013-03-28,10.0,10.0,4.4925,0.0
