date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,6.045833333333333,0
2013-03-25,,,,
2013-03-26,49.0,,,
2013-03-27,24.0,24.0,6.045833333333333,0
2013-03-28,24.0,24.0,5.137777777777778,0
2013-03-29,24.0,31.0,5.266111111111111,0
2013-03-30,24.0,24.0,11.873055555555556,0
2013-03-31,24.0,25.0,12.477777777777778,0
2013-04-01,24.0,24.0,8.909166666666666,0
2013-04-02,28.0,24.0,4.476388888888889,0
2013-04-03,24.0,24.0,6.6691666666666665,0
2013-04-04,84.0,74.0,5.4025,0
2013-04-05,21.0,22.0,6.042777777777777,0
2013-04-06,24.0,24.0,7.289166666666667,0
2013-04-07,25.0,32.0,4.033888888888889,0
2013-04-08,24.0,24.0,2.6866666666666665,1
2013-04-09,26.0,27.0,6.9475,0
2013-04-10,26.0,29.0,8.738055555555556,0
2013-04-11,16.0,16.0,4.306111111111111,0
2013-04-12,25.0,24.0,6.9191666666666665,0
2013-04-13,23.0,23.0,7.033055555555555,0
2013-04-14,24.0,24.0,8.648888888888889,0
2013-04-15,24.0,24.0,4.1691666666666665,1
2013-04-16,24.0,24.0,3.531111111111111,0
2013-04-17,24.0,24.0,8.324722222222222,0
2013-04-18,24.0,24.0,12.098611111111111,0
2013-04-19,24.0,24.0,4.308888888888889,0
2013-04-20,24.0,24.0,,0
2013-04-21,24.0,24.0,0.553611111111111,0
2013-04-22,24.0,24.0,5.211944444444445,1
2013-04-23,24.0,24.0,,0
2013-04-24,24.0,24.0,,0
2013-04-25,24.0,24.0,,0
2013-04-26,24.0,24.0,,0
2013-04-27,24.0,24.0,,0
2013-04-28,24.0,24.0,,0
2013-04-29,24.0,24.0,,0
2013-04-30,24.0,24.0,,1
2013-05-01,24.0,24.0,3.5441666666666665,0
2013-05-02,24.0,24.0,1.2244444444444444,0
2013-05-03,24.0,24.0,,0
2013-05-04,24.0,24.0,,0
2013-05-05,23.0,22.0,0.2638888888888889,0
2013-05-06,24.0,24.0,6.572500000000001,0
2013-05-07,24.0,24.0,4.178055555555556,1
2013-05-08,24.0,24.0,1.4052777777777778,0
2013-05-09,24.0,24.0,4.500833333333333,0
2013-05-10,24.0,24.0,4.7625,0
2013-05-11,24.0,24.0,8.788333333333334,0
2013-05-12,24.0,24.0,11.358333333333334,0
2013-05-13,24.0,24.0,8.397222222222222,1
2013-05-14,24.0,24.0,9.630555555555556,0
2013-05-15,24.0,24.0,6.652777777777778,0
2013-05-16,24.0,24.0,5.213888888888889,0
2013-05-17,24.0,24.0,4.813888888888888,0
2013-05-18,24.0,24.0,11.04,0
2013-05-19,24.0,24.0,6.072222222222222,0
2013-05-20,24.0,24.0,1.813055555555556,0
2013-05-21,24.0,24.0,4.828888888888889,0
2013-05-22,24.0,24.0,4.169444444444444,0
2013-05-23,24.0,24.0,8.942222222222222,0
2013-05-24,24.0,24.0,3.713611111111111,0
2013-05-25,24.0,24.0,8.466944444444444,0
2013-05-26,24.0,24.0,13.178611111111111,0
2013-05-27,24.0,24.0,8.131944444444445,0
2013-05-28,24.0,24.0,8.155555555555555,0
2013-05-29,14.0,14.0,6.424722222222223,1
2013-05-30,,,,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
