date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,1.0,1.0,,2
2013-03-25,24.0,24.0,,
2013-03-26,15.0,15.0,,
2013-03-27,1.0,1.0,,2
2013-03-28,506.0,689.0,1.2327777777777778,1
2013-03-29,21.0,68.0,5.146388888888889,2
2013-03-30,24.0,74.0,3.999444444444445,0
2013-03-31,26.0,55.0,4.908055555555555,0
2013-04-01,24.0,39.0,1.0463888888888888,2
2013-04-02,24.0,27.0,3.378055555555556,1
2013-04-03,23.0,49.0,3.669444444444444,2
2013-04-04,29.0,43.0,2.646388888888889,1
2013-04-05,28.0,39.0,0.5297222222222222,2
2013-04-06,19.0,29.0,2.766388888888889,0
2013-04-07,27.0,25.0,0.8741666666666666,0
2013-04-08,31.0,42.0,4.340555555555556,3
2013-04-09,30.0,24.0,1.805,1
2013-04-10,25.0,44.0,2.7111111111111112,2
2013-04-11,26.0,26.0,4.970277777777778,1
2013-04-12,26.0,35.0,0.8911111111111111,2
2013-04-13,24.0,46.0,,0
2013-04-14,23.0,33.0,0.7383333333333334,0
2013-04-15,25.0,52.0,4.075833333333334,3
2013-04-16,27.0,28.0,1.8094444444444444,1
2013-04-17,34.0,39.0,2.163611111111111,2
2013-04-18,25.0,37.0,3.4225,2
2013-04-19,23.0,32.0,1.8497222222222225,2
2013-04-20,22.0,64.0,3.823055555555555,0
2013-04-21,25.0,47.0,2.5933333333333333,0
2013-04-22,24.0,41.0,3.996944444444445,3
2013-04-23,18.0,61.0,0.8250000000000001,1
2013-04-24,25.0,40.0,2.8136111111111117,2
2013-04-25,24.0,49.0,4.225277777777778,1
2013-04-26,24.0,28.0,3.524722222222222,2
2013-04-27,27.0,27.0,0.0533333333333333,0
2013-04-28,35.0,35.0,,0
2013-04-29,,,,2
2013-04-30,,,0.2344444444444444,2
2013-05-01,,,,2
2013-05-02,,,,1
2013-05-03,,,,2
2013-05-04,,,,0
2013-05-05,,,,0
2013-05-06,,,,2
2013-05-07,,,,2
2013-05-08,,,,2
2013-05-09,,,,2
2013-05-10,,,,2
2013-05-11,1.0,1.0,,0
2013-05-12,16.0,16.0,2.762777777777778,0
2013-05-13,24.0,24.0,3.9669444444444446,3
2013-05-14,24.0,24.0,6.305555555555555,1
2013-05-15,24.0,24.0,8.580277777777779,2
2013-05-16,26.0,26.0,8.235,1
2013-05-17,24.0,24.0,6.502777777777778,2
2013-05-18,24.0,24.0,2.9833333333333334,0
2013-05-19,24.0,24.0,10.841666666666669,0
2013-05-20,24.0,24.0,6.8869444444444445,2
2013-05-21,24.0,24.0,9.660833333333333,1
2013-05-22,24.0,24.0,8.314722222222223,2
2013-05-23,20.0,20.0,6.413888888888889,1
2013-05-24,26.0,29.0,7.134444444444444,2
2013-05-25,48.0,48.0,15.039444444444444,0
2013-05-26,46.0,55.0,12.956388888888888,0
2013-05-27,42.0,66.0,8.028055555555556,2
2013-05-28,51.0,59.0,13.4875,1
2013-05-29,42.0,62.0,2.9255555555555555,2
2013-05-30,50.0,59.0,10.31638888888889,0
2013-05-31,51.0,68.0,9.75388888888889,1
2013-06-01,43.0,60.0,0.4944444444444444,0
2013-06-02,36.0,45.0,,0
2013-06-03,44.0,90.0,,1
2013-06-04,24.0,26.0,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,10.0,10.0,,
2013-06-12,15.0,15.0,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,9.0,9.0,,
2013-06-17,11.0,11.0,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
