date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,5.968055555555556,0
2013-03-25,24.0,24.0,,
2013-03-26,18.0,18.0,,
2013-03-27,24.0,24.0,5.968055555555556,0
2013-03-28,24.0,24.0,8.284444444444444,1
2013-03-29,24.0,24.0,7.588055555555556,0
2013-03-30,24.0,24.0,6.753055555555555,0
2013-03-31,24.0,24.0,5.508055555555556,0
2013-04-01,24.0,24.0,7.880277777777778,0
2013-04-02,24.0,24.0,6.0025,1
2013-04-03,24.0,24.0,6.360277777777778,0
2013-04-04,24.0,24.0,5.534166666666667,0
2013-04-05,17.0,17.0,6.183333333333334,0
2013-04-06,24.0,24.0,5.308888888888889,0
2013-04-07,24.0,24.0,6.639166666666666,0
2013-04-08,24.0,24.0,5.933888888888889,1
2013-04-09,11.0,11.0,4.178055555555556,1
2013-04-10,24.0,24.0,6.883333333333333,0
2013-04-11,13.0,13.0,4.5616666666666665,0
2013-04-12,24.0,24.0,3.188333333333333,0
2013-04-13,24.0,24.0,3.0836111111111117,0
2013-04-14,24.0,24.0,4.426388888888889,0
2013-04-15,24.0,24.0,8.212222222222222,1
2013-04-16,24.0,24.0,2.815,0
2013-04-17,24.0,24.0,6.156111111111112,0
2013-04-18,24.0,24.0,9.249722222222225,1
2013-04-19,24.0,24.0,7.834166666666666,0
2013-04-20,24.0,24.0,4.208333333333333,0
2013-04-21,24.0,24.0,1.3219444444444444,0
2013-04-22,24.0,24.0,5.74,1
2013-04-23,24.0,24.0,5.905833333333333,0
2013-04-24,17.0,17.0,8.314166666666667,0
2013-04-25,11.0,11.0,2.776666666666667,0
2013-04-26,24.0,24.0,5.970277777777778,0
2013-04-27,24.0,24.0,2.783611111111111,0
2013-04-28,24.0,24.0,3.8713888888888888,0
2013-04-29,24.0,24.0,2.5997222222222223,0
2013-04-30,24.0,24.0,,2
2013-05-01,24.0,24.0,0.0327777777777777,0
2013-05-02,21.0,21.0,6.094722222222222,1
2013-05-03,24.0,24.0,6.641388888888889,0
2013-05-04,24.0,24.0,6.299444444444444,0
2013-05-05,24.0,24.0,7.160555555555556,0
2013-05-06,24.0,24.0,4.288888888888889,0
2013-05-07,24.0,24.0,3.3708333333333336,1
2013-05-08,24.0,24.0,6.843333333333334,0
2013-05-09,24.0,24.0,2.58,0
2013-05-10,24.0,24.0,9.838611111111112,0
2013-05-11,24.0,24.0,2.658888888888889,0
2013-05-12,18.0,18.0,0.2377777777777777,0
2013-05-13,24.0,24.0,0.0336111111111111,1
2013-05-14,24.0,24.0,2.765,0
2013-05-15,24.0,24.0,4.565555555555555,0
2013-05-16,21.0,21.0,5.6225,0
2013-05-17,18.0,18.0,2.9961111111111114,0
2013-05-18,16.0,16.0,1.737777777777778,0
2013-05-19,19.0,19.0,0.065,0
2013-05-20,24.0,24.0,,0
2013-05-21,24.0,24.0,1.6,0
2013-05-22,24.0,24.0,8.319166666666666,0
2013-05-23,24.0,24.0,3.876666666666667,1
2013-05-24,24.0,24.0,3.0475,0
2013-05-25,24.0,24.0,,0
2013-05-26,24.0,24.0,,0
2013-05-27,24.0,24.0,,0
2013-05-28,24.0,24.0,,0
2013-05-29,12.0,12.0,7.014444444444445,1
2013-05-30,,,,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,1
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
