date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,7.9847222222222225,0
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,24.0,24.0,7.9847222222222225,0
2013-03-28,24.0,24.0,8.554166666666667,0
2013-03-29,24.0,24.0,4.893888888888889,0
2013-03-30,24.0,24.0,2.939722222222222,0
2013-03-31,24.0,24.0,4.566944444444444,0
2013-04-01,24.0,24.0,7.2666666666666675,1
2013-04-02,24.0,24.0,7.123333333333333,1
2013-04-03,24.0,24.0,9.789722222222222,0
2013-04-04,24.0,24.0,9.140833333333331,0
2013-04-05,22.0,22.0,9.803333333333333,0
2013-04-06,24.0,24.0,15.120555555555557,0
2013-04-07,24.0,24.0,12.301666666666668,0
2013-04-08,22.0,22.0,10.308333333333334,2
2013-04-09,24.0,24.0,3.739444444444445,0
2013-04-10,24.0,24.0,4.425277777777778,0
2013-04-11,24.0,24.0,9.077222222222222,0
2013-04-12,24.0,24.0,6.426111111111111,0
2013-04-13,24.0,24.0,4.111111111111111,0
2013-04-14,24.0,24.0,2.7519444444444443,0
2013-04-15,23.0,23.0,4.081388888888888,2
2013-04-16,24.0,24.0,5.006944444444445,1
2013-04-17,24.0,24.0,6.353055555555556,0
2013-04-18,24.0,24.0,6.283333333333333,0
2013-04-19,24.0,24.0,9.825555555555557,0
2013-04-20,24.0,24.0,1.3122222222222222,0
2013-04-21,24.0,24.0,6.216388888888889,0
2013-04-22,24.0,24.0,2.531111111111111,2
2013-04-23,24.0,24.0,,0
2013-04-24,24.0,24.0,,0
2013-04-25,24.0,24.0,,0
2013-04-26,24.0,24.0,,0
2013-04-27,24.0,24.0,0.1116666666666666,0
2013-04-28,24.0,24.0,1.0547222222222223,0
2013-04-29,24.0,24.0,1.7125,1
2013-04-30,24.0,24.0,2.641111111111111,2
2013-05-01,24.0,24.0,5.484999999999999,0
2013-05-02,24.0,24.0,3.960833333333333,0
2013-05-03,24.0,24.0,3.768611111111111,0
2013-05-04,24.0,24.0,0.3136111111111111,0
2013-05-05,24.0,24.0,2.256111111111111,0
2013-05-06,24.0,24.0,3.005,1
2013-05-07,24.0,24.0,0.0980555555555555,1
2013-05-08,16.0,16.0,0.4538888888888889,0
2013-05-09,8.0,8.0,0.1930555555555555,0
2013-05-10,24.0,24.0,1.6916666666666669,0
2013-05-11,24.0,24.0,1.6780555555555556,0
2013-05-12,24.0,24.0,5.395833333333333,0
2013-05-13,24.0,24.0,5.034166666666667,1
2013-05-14,24.0,24.0,3.8402777777777777,1
2013-05-15,1.0,1.0,,1
2013-05-16,,,,0
2013-05-17,,,,0
2013-05-18,,,,0
2013-05-19,,,,0
2013-05-20,,,,0
2013-05-21,,,,0
2013-05-22,,,,0
2013-05-23,,,,0
2013-05-24,,,,0
2013-05-25,,,,0
2013-05-26,,,,0
2013-05-27,,,,0
2013-05-28,,,,1
2013-05-29,,,,2
2013-05-30,,,,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
