date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,7.0,7.0,4.459722222222222,0
2013-03-25,24.0,24.0,,
2013-03-26,15.0,15.0,,
2013-03-27,7.0,7.0,4.459722222222222,0
2013-03-28,24.0,24.0,8.64638888888889,0
2013-03-29,24.0,24.0,9.098611111111111,1
2013-03-30,24.0,24.0,13.125555555555556,0
2013-03-31,24.0,24.0,5.344722222222222,1
2013-04-01,24.0,24.0,7.223055555555556,0
2013-04-02,24.0,24.0,9.828611111111112,0
2013-04-03,26.0,26.0,9.098333333333333,0
2013-04-04,24.0,24.0,13.14861111111111,0
2013-04-05,24.0,24.0,9.286111111111111,1
2013-04-06,20.0,20.0,8.922222222222222,0
2013-04-07,23.0,23.0,4.550277777777778,1
2013-04-08,24.0,24.0,7.9127777777777775,1
2013-04-09,24.0,24.0,8.3375,0
2013-04-10,24.0,24.0,6.130555555555556,0
2013-04-11,24.0,24.0,12.321944444444444,0
2013-04-12,24.0,24.0,9.61,1
2013-04-13,24.0,24.0,14.60138888888889,0
2013-04-14,24.0,24.0,8.139444444444443,0
2013-04-15,24.0,24.0,8.06638888888889,1
2013-04-16,24.0,24.0,8.133055555555556,1
2013-04-17,24.0,24.0,7.3225,0
2013-04-18,24.0,24.0,9.060555555555556,0
2013-04-19,24.0,24.0,7.861388888888889,1
2013-04-20,24.0,24.0,13.628333333333334,0
2013-04-21,24.0,24.0,5.981388888888889,0
2013-04-22,24.0,24.0,6.8502777777777775,1
2013-04-23,24.0,24.0,10.782222222222222,0
2013-04-24,24.0,24.0,12.474444444444444,0
2013-04-25,23.0,23.0,10.911944444444444,0
2013-04-26,15.0,15.0,8.011666666666667,1
2013-04-27,24.0,24.0,12.254722222222222,0
2013-04-28,24.0,24.0,6.5344444444444445,0
2013-04-29,24.0,24.0,9.883611111111112,0
2013-04-30,24.0,24.0,7.970277777777778,2
2013-05-01,24.0,24.0,7.614166666666667,0
2013-05-02,24.0,24.0,5.411666666666667,0
2013-05-03,24.0,24.0,9.830833333333333,1
2013-05-04,17.0,17.0,6.842777777777777,0
2013-05-05,24.0,24.0,6.681388888888889,0
2013-05-06,24.0,24.0,6.602777777777778,0
2013-05-07,24.0,24.0,6.454722222222222,2
2013-05-08,24.0,24.0,8.215,0
2013-05-09,24.0,24.0,6.522777777777778,0
2013-05-10,24.0,24.0,8.16,1
2013-05-11,24.0,24.0,10.076944444444443,0
2013-05-12,24.0,24.0,2.546388888888889,0
2013-05-13,24.0,24.0,7.417777777777778,1
2013-05-14,24.0,24.0,5.127777777777778,1
2013-05-15,24.0,24.0,4.064444444444445,0
2013-05-16,19.0,19.0,4.443333333333333,0
2013-05-17,,,,1
2013-05-18,,,,0
2013-05-19,1.0,1.0,1.2802777777777778,0
2013-05-20,24.0,24.0,9.729166666666666,0
2013-05-21,24.0,24.0,11.265,0
2013-05-22,20.0,20.0,8.998333333333333,0
2013-05-23,24.0,24.0,7.9319444444444445,1
2013-05-24,19.0,19.0,6.434722222222223,1
2013-05-25,24.0,24.0,5.969722222222222,0
2013-05-26,24.0,24.0,16.286944444444444,0
2013-05-27,22.0,22.0,12.795555555555556,0
2013-05-28,19.0,19.0,5.161944444444444,1
2013-05-29,24.0,24.0,16.294166666666666,1
2013-05-30,24.0,24.0,4.508333333333333,1
2013-05-31,24.0,24.0,5.3116666666666665,1
2013-06-01,18.0,18.0,3.551944444444445,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
