date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,20.0,20.0,0.7061111111111111,0
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,20.0,20.0,0.7061111111111111,0
2013-03-28,7.0,7.0,2.2913888888888887,0
2013-03-29,24.0,24.0,5.191666666666666,0
2013-03-30,24.0,24.0,2.695,0
2013-03-31,24.0,24.0,2.5347222222222223,0
2013-04-01,24.0,24.0,3.5052777777777777,0
2013-04-02,24.0,24.0,9.474722222222224,1
2013-04-03,24.0,24.0,6.205,0
2013-04-04,24.0,24.0,4.058611111111111,0
2013-04-05,24.0,24.0,6.353611111111111,0
2013-04-06,24.0,24.0,6.235555555555555,0
2013-04-07,24.0,24.0,1.1622222222222225,0
2013-04-08,24.0,24.0,3.913611111111111,1
2013-04-09,24.0,24.0,4.286388888888889,1
2013-04-10,24.0,24.0,5.729722222222223,0
2013-04-11,24.0,24.0,5.95,0
2013-04-12,24.0,24.0,4.106944444444444,0
2013-04-13,24.0,24.0,5.363888888888889,0
2013-04-14,24.0,24.0,1.3241666666666667,0
2013-04-15,24.0,24.0,0.2352777777777777,1
2013-04-16,24.0,24.0,0.8380555555555556,0
2013-04-17,24.0,24.0,4.358611111111111,0
2013-04-18,24.0,24.0,1.7930555555555556,0
2013-04-19,24.0,24.0,6.007222222222223,0
2013-04-20,24.0,24.0,0.0530555555555555,0
2013-04-21,24.0,24.0,2.0358333333333336,0
2013-04-22,24.0,24.0,2.9855555555555555,1
2013-04-23,24.0,24.0,5.42,1
2013-04-24,24.0,24.0,4.729444444444445,0
2013-04-25,24.0,24.0,0.2686111111111111,0
2013-04-26,24.0,24.0,,0
2013-04-27,24.0,24.0,1.7094444444444443,0
2013-04-28,24.0,24.0,7.673055555555556,0
2013-04-29,24.0,24.0,7.194722222222223,0
2013-04-30,24.0,24.0,0.0447222222222222,1
2013-05-01,24.0,24.0,5.094166666666666,0
2013-05-02,24.0,24.0,1.538333333333333,0
2013-05-03,24.0,24.0,0.045,0
2013-05-04,24.0,24.0,3.2372222222222224,0
2013-05-05,24.0,24.0,2.1094444444444447,0
2013-05-06,24.0,24.0,3.051111111111111,0
2013-05-07,24.0,24.0,6.388888888888889,1
2013-05-08,24.0,24.0,1.7338888888888888,0
2013-05-09,24.0,24.0,0.2997222222222222,0
2013-05-10,24.0,24.0,2.426111111111111,0
2013-05-11,24.0,24.0,4.892222222222222,0
2013-05-12,24.0,24.0,4.950833333333334,0
2013-05-13,24.0,24.0,2.4705555555555554,1
2013-05-14,24.0,24.0,2.53,0
2013-05-15,24.0,24.0,6.443888888888889,0
2013-05-16,21.0,21.0,1.403333333333333,0
2013-05-17,24.0,24.0,0.0586111111111111,0
2013-05-18,24.0,24.0,0.0477777777777777,0
2013-05-19,24.0,24.0,3.0677777777777777,0
2013-05-20,24.0,24.0,3.1430555555555557,0
2013-05-21,24.0,24.0,3.0166666666666666,0
2013-05-22,24.0,24.0,0.095,0
2013-05-23,24.0,24.0,0.0166666666666666,0
2013-05-24,24.0,24.0,5.622222222222223,0
2013-05-25,21.0,21.0,2.0216666666666665,0
2013-05-26,24.0,24.0,0.4316666666666667,0
2013-05-27,24.0,24.0,5.239166666666667,0
2013-05-28,24.0,24.0,6.138333333333334,0
2013-05-29,24.0,24.0,3.675,2
2013-05-30,24.0,24.0,3.1841666666666666,0
2013-05-31,12.0,12.0,2.14,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
