date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,7.0,7.0,5.024722222222222,0
2013-03-25,24.0,24.0,,
2013-03-26,15.0,15.0,,
2013-03-27,7.0,7.0,5.024722222222222,0
2013-03-28,24.0,24.0,4.008611111111112,0
2013-03-29,24.0,24.0,11.0425,0
2013-03-30,24.0,24.0,6.956388888888889,0
2013-03-31,24.0,24.0,7.626388888888889,0
2013-04-01,24.0,24.0,7.836666666666667,1
2013-04-02,24.0,24.0,1.3866666666666667,0
2013-04-03,24.0,24.0,9.15611111111111,0
2013-04-04,22.0,22.0,10.011111111111113,0
2013-04-05,24.0,24.0,9.557222222222222,0
2013-04-06,24.0,24.0,9.881944444444445,0
2013-04-07,24.0,24.0,4.091388888888889,0
2013-04-08,24.0,24.0,9.628333333333334,2
2013-04-09,24.0,24.0,7.366944444444445,0
2013-04-10,24.0,24.0,2.0669444444444443,1
2013-04-11,24.0,24.0,6.174722222222222,0
2013-04-12,28.0,42.0,11.52138888888889,0
2013-04-13,25.0,56.0,7.875277777777778,0
2013-04-14,37.0,73.0,7.623611111111111,0
2013-04-15,28.0,63.0,8.804722222222223,2
2013-04-16,31.0,32.0,5.410277777777778,0
2013-04-17,25.0,41.0,7.967777777777778,0
2013-04-18,33.0,34.0,9.11138888888889,0
2013-04-19,33.0,45.0,6.230277777777777,0
2013-04-20,26.0,46.0,2.0052777777777777,0
2013-04-21,25.0,38.0,3.493055555555556,0
2013-04-22,24.0,31.0,4.076666666666667,2
2013-04-23,26.0,50.0,4.108888888888889,0
2013-04-24,38.0,46.0,8.245,0
2013-04-25,29.0,45.0,12.453333333333331,0
2013-04-26,23.0,29.0,3.194166666666667,0
2013-04-27,24.0,24.0,,0
2013-04-28,,,,0
2013-04-29,,,,1
2013-04-30,,,,1
2013-05-01,,,,1
2013-05-02,,,,0
2013-05-03,,,,0
2013-05-04,,,,0
2013-05-05,,,,0
2013-05-06,,,,1
2013-05-07,,,,1
2013-05-08,,,,0
2013-05-09,,,,0
2013-05-10,,,,0
2013-05-11,,,,0
2013-05-12,,,,0
2013-05-13,,,,1
2013-05-14,,,,0
2013-05-15,,,,2
2013-05-16,,,,0
2013-05-17,,,,0
2013-05-18,,,,0
2013-05-19,,,,0
2013-05-20,,,,0
2013-05-21,,,,0
2013-05-22,,,,0
2013-05-23,,,,0
2013-05-24,,,,0
2013-05-25,,,,0
2013-05-26,,,,0
2013-05-27,,,,0
2013-05-28,,,,0
2013-05-29,,,,3
2013-05-30,,,,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
