date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,19.0,19.0,1.5477777777777777,0
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,19.0,19.0,1.5477777777777777,0
2013-03-28,24.0,24.0,12.214166666666667,0
2013-03-29,24.0,24.0,9.310277777777776,1
2013-03-30,24.0,24.0,9.65277777777778,0
2013-03-31,24.0,24.0,12.131388888888887,0
2013-04-01,24.0,24.0,7.257777777777778,0
2013-04-02,24.0,24.0,7.565833333333334,0
2013-04-03,24.0,24.0,6.556388888888889,0
2013-04-04,24.0,24.0,10.734166666666669,0
2013-04-05,24.0,24.0,7.983611111111111,1
2013-04-06,24.0,24.0,8.001111111111111,0
2013-04-07,24.0,24.0,9.604166666666666,0
2013-04-08,24.0,24.0,7.046944444444445,1
2013-04-09,24.0,24.0,7.360555555555555,0
2013-04-10,24.0,24.0,10.104722222222222,0
2013-04-11,24.0,24.0,12.917222222222222,1
2013-04-12,24.0,24.0,12.091944444444444,1
2013-04-13,24.0,24.0,8.323888888888888,0
2013-04-14,24.0,24.0,9.481111111111112,0
2013-04-15,24.0,24.0,7.540277777777778,1
2013-04-16,24.0,24.0,5.320833333333334,0
2013-04-17,24.0,24.0,5.254722222222222,1
2013-04-18,24.0,24.0,1.6955555555555557,0
2013-04-19,24.0,24.0,6.032777777777778,1
2013-04-20,24.0,24.0,9.405555555555557,0
2013-04-21,24.0,24.0,7.813611111111111,0
2013-04-22,24.0,24.0,10.025277777777776,1
2013-04-23,24.0,24.0,7.1525,0
2013-04-24,16.0,16.0,6.832777777777777,0
2013-04-25,24.0,24.0,6.029166666666667,1
2013-04-26,24.0,24.0,10.346944444444444,1
2013-04-27,24.0,24.0,11.556111111111113,0
2013-04-28,24.0,24.0,8.899444444444445,0
2013-04-29,24.0,24.0,6.435555555555556,0
2013-04-30,24.0,24.0,,1
2013-05-01,24.0,24.0,,0
2013-05-02,24.0,24.0,,0
2013-05-03,24.0,24.0,,1
2013-05-04,14.0,14.0,,0
2013-05-05,,,,0
2013-05-06,22.0,22.0,5.800833333333333,1
2013-05-07,22.0,22.0,6.844722222222222,1
2013-05-08,24.0,24.0,5.718888888888889,0
2013-05-09,24.0,24.0,8.109166666666667,1
2013-05-10,24.0,24.0,8.506944444444445,1
2013-05-11,24.0,24.0,4.14,0
2013-05-12,24.0,24.0,9.282222222222222,0
2013-05-13,24.0,24.0,4.5,1
2013-05-14,24.0,24.0,2.6619444444444444,0
2013-05-15,24.0,24.0,,1
2013-05-16,24.0,24.0,,0
2013-05-17,,,,1
2013-05-18,,,8.164722222222222,0
2013-05-19,,,7.742222222222223,0
2013-05-20,,,4.839444444444444,0
2013-05-21,,,8.100277777777778,0
2013-05-22,,,9.178333333333333,0
2013-05-23,,,10.080555555555556,1
2013-05-24,,,10.9875,1
2013-05-25,,,12.123888888888889,0
2013-05-26,,,11.9475,0
2013-05-27,,,3.681111111111111,0
2013-05-28,,,12.53472222222222,1
2013-05-29,,,17.039444444444445,1
2013-05-30,,,2.0516666666666667,0
2013-05-31,,,,0
2013-06-01,,,,1
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
