date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,26.0,49.0,4.340277777777778,0
2013-03-25,24.0,24.0,,
2013-03-26,22.0,20.0,,
2013-03-27,26.0,49.0,4.340277777777778,0
2013-03-28,24.0,40.0,5.4575,0
2013-03-29,25.0,51.0,5.464444444444444,0
2013-03-30,27.0,31.0,4.723055555555556,0
2013-03-31,25.0,35.0,2.29,0
2013-04-01,33.0,61.0,7.830277777777778,0
2013-04-02,37.0,44.0,5.371111111111111,0
2013-04-03,23.0,77.0,6.762777777777778,0
2013-04-04,27.0,150.0,4.511388888888889,0
2013-04-05,25.0,36.0,10.4825,0
2013-04-06,23.0,32.0,7.360277777777777,0
2013-04-07,31.0,38.0,9.20111111111111,0
2013-04-08,33.0,30.0,7.049166666666667,1
2013-04-09,37.0,75.0,5.5025,1
2013-04-10,34.0,97.0,7.525833333333333,0
2013-04-11,26.0,74.0,4.771111111111111,0
2013-04-12,28.0,26.0,6.683055555555556,1
2013-04-13,36.0,28.0,4.483055555555556,0
2013-04-14,26.0,41.0,4.901666666666666,0
2013-04-15,26.0,46.0,8.956388888888888,1
2013-04-16,30.0,71.0,3.948055555555555,0
2013-04-17,37.0,112.0,8.428888888888888,0
2013-04-18,29.0,152.0,7.068888888888889,0
2013-04-19,32.0,85.0,6.488611111111111,0
2013-04-20,35.0,89.0,3.854444444444444,0
2013-04-21,25.0,189.0,4.258055555555556,0
2013-04-22,32.0,91.0,7.426944444444445,2
2013-04-23,24.0,68.0,6.994722222222222,1
2013-04-24,30.0,42.0,5.8244444444444445,0
2013-04-25,32.0,102.0,6.7425,0
2013-04-26,27.0,51.0,7.494722222222222,0
2013-04-27,30.0,56.0,3.7516666666666665,0
2013-04-28,31.0,69.0,5.402222222222222,0
2013-04-29,38.0,33.0,8.1125,1
2013-04-30,28.0,67.0,9.985,1
2013-05-01,30.0,45.0,7.259722222222223,0
2013-05-02,25.0,94.0,7.610555555555556,1
2013-05-03,31.0,57.0,7.264444444444444,0
2013-05-04,45.0,86.0,6.859722222222223,0
2013-05-05,26.0,40.0,4.8275,0
2013-05-06,26.0,76.0,6.1325,0
2013-05-07,26.0,62.0,5.329722222222222,2
2013-05-08,32.0,54.0,9.026111111111112,0
2013-05-09,26.0,43.0,5.655555555555555,0
2013-05-10,33.0,69.0,8.228333333333333,0
2013-05-11,32.0,76.0,7.093611111111112,0
2013-05-12,25.0,26.0,6.966666666666667,0
2013-05-13,24.0,33.0,5.013055555555556,1
2013-05-14,33.0,59.0,2.557777777777778,0
2013-05-15,33.0,66.0,10.09138888888889,0
2013-05-16,37.0,96.0,8.214444444444444,0
2013-05-17,26.0,42.0,5.95,0
2013-05-18,26.0,45.0,3.0591666666666666,0
2013-05-19,25.0,41.0,4.875555555555556,0
2013-05-20,43.0,90.0,5.207222222222223,0
2013-05-21,29.0,101.0,7.429722222222222,1
2013-05-22,29.0,29.0,9.734166666666669,1
2013-05-23,24.0,42.0,9.760277777777778,0
2013-05-24,29.0,30.0,6.5025,0
2013-05-25,36.0,122.0,7.52,0
2013-05-26,22.0,88.0,6.753611111111111,0
2013-05-27,29.0,89.0,9.801666666666666,0
2013-05-28,24.0,25.0,6.839722222222222,0
2013-05-29,11.0,16.0,7.581388888888889,2
2013-05-30,,,,1
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
