date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,4.083611111111111,0
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,24.0,24.0,4.083611111111111,0
2013-03-28,24.0,24.0,0.8455555555555555,0
2013-03-29,24.0,24.0,2.616388888888889,0
2013-03-30,24.0,24.0,0.2463888888888888,0
2013-03-31,24.0,24.0,,0
2013-04-01,24.0,24.0,3.9252777777777776,0
2013-04-02,20.0,20.0,,0
2013-04-03,20.0,20.0,2.680555555555556,0
2013-04-04,24.0,24.0,,0
2013-04-05,24.0,24.0,2.961388888888889,0
2013-04-06,24.0,24.0,3.39,0
2013-04-07,24.0,24.0,,0
2013-04-08,24.0,24.0,3.274722222222222,2
2013-04-09,24.0,24.0,0.0527777777777777,0
2013-04-10,24.0,24.0,3.4041666666666663,1
2013-04-11,24.0,24.0,,0
2013-04-12,24.0,24.0,1.2969444444444445,0
2013-04-13,24.0,24.0,0.785,0
2013-04-14,24.0,24.0,0.1427777777777777,0
2013-04-15,24.0,24.0,1.9425,1
2013-04-16,24.0,24.0,,0
2013-04-17,24.0,24.0,1.5216666666666667,1
2013-04-18,24.0,24.0,1.1430555555555555,0
2013-04-19,14.0,14.0,,1
2013-04-20,8.0,8.0,0.5988888888888889,0
2013-04-21,24.0,24.0,4.365277777777778,0
2013-04-22,24.0,24.0,1.1736111111111112,1
2013-04-23,24.0,24.0,0.6441666666666667,0
2013-04-24,22.0,22.0,0.0475,0
2013-04-25,21.0,21.0,3.7875,0
2013-04-26,24.0,24.0,4.210277777777778,1
2013-04-27,24.0,24.0,1.2030555555555555,0
2013-04-28,24.0,24.0,0.7166666666666667,0
2013-04-29,24.0,24.0,1.4761111111111112,1
2013-04-30,24.0,24.0,1.100833333333333,1
2013-05-01,24.0,24.0,0.0925,0
2013-05-02,24.0,24.0,0.1786111111111111,0
2013-05-03,24.0,24.0,1.0138888888888888,0
2013-05-04,24.0,24.0,2.109166666666667,0
2013-05-05,24.0,24.0,1.1205555555555555,0
2013-05-06,24.0,24.0,1.5044444444444445,0
2013-05-07,19.0,19.0,2.310833333333333,1
2013-05-08,24.0,24.0,0.0644444444444444,0
2013-05-09,24.0,24.0,0.0222222222222222,0
2013-05-10,24.0,24.0,1.8608333333333331,0
2013-05-11,24.0,24.0,,0
2013-05-12,24.0,24.0,0.0194444444444444,0
2013-05-13,19.0,19.0,2.1405555555555558,1
2013-05-14,24.0,24.0,,0
2013-05-15,24.0,24.0,1.428611111111111,0
2013-05-16,15.0,15.0,0.0561111111111111,0
2013-05-17,,,,0
2013-05-18,,,,0
2013-05-19,,,,0
2013-05-20,,,,0
2013-05-21,11.0,11.0,1.4677777777777776,0
2013-05-22,23.0,23.0,,0
2013-05-23,,,,0
2013-05-24,,,,0
2013-05-25,,,,0
2013-05-26,,,,1
2013-05-27,,,,0
2013-05-28,,,,0
2013-05-29,,,,2
2013-05-30,,,,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
