date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,7.0,6.0,1.294166666666667,0
2013-03-25,24.0,24.0,,
2013-03-26,15.0,15.0,,
2013-03-27,7.0,6.0,1.294166666666667,0
2013-03-28,24.0,25.0,7.289722222222222,0
2013-03-29,24.0,28.0,10.601666666666668,0
2013-03-30,24.0,27.0,5.0488888888888885,0
2013-03-31,29.0,28.0,5.947222222222222,0
2013-04-01,24.0,45.0,5.493611111111111,0
2013-04-02,24.0,27.0,6.936388888888889,1
2013-04-03,24.0,29.0,4.378333333333334,0
2013-04-04,24.0,30.0,8.606111111111112,0
2013-04-05,24.0,45.0,4.840833333333333,0
2013-04-06,24.0,32.0,6.894722222222223,0
2013-04-07,24.0,50.0,4.445833333333334,0
2013-04-08,30.0,38.0,9.545833333333333,1
2013-04-09,29.0,45.0,5.755555555555556,0
2013-04-10,26.0,46.0,9.002777777777778,0
2013-04-11,23.0,94.0,8.275,0
2013-04-12,26.0,34.0,3.934444444444445,0
2013-04-13,24.0,40.0,5.050833333333333,0
2013-04-14,24.0,40.0,7.830833333333333,0
2013-04-15,27.0,29.0,10.046111111111111,1
2013-04-16,27.0,28.0,11.498055555555556,1
2013-04-17,25.0,65.0,8.888055555555555,0
2013-04-18,24.0,29.0,7.038888888888889,0
2013-04-19,27.0,28.0,7.051944444444445,0
2013-04-20,26.0,42.0,5.966666666666667,0
2013-04-21,26.0,38.0,4.151944444444444,0
2013-04-22,24.0,24.0,8.836388888888889,1
2013-04-23,25.0,31.0,9.282777777777778,0
2013-04-24,24.0,32.0,2.406388888888889,0
2013-04-25,24.0,34.0,9.130555555555556,0
2013-04-26,26.0,41.0,2.4677777777777776,0
2013-04-27,24.0,37.0,1.045,0
2013-04-28,24.0,26.0,5.370277777777778,0
2013-04-29,24.0,24.0,4.920277777777778,0
2013-04-30,28.0,27.0,6.235277777777778,2
2013-05-01,26.0,34.0,3.518333333333333,0
2013-05-02,24.0,26.0,3.526388888888889,0
2013-05-03,24.0,24.0,3.675555555555556,0
2013-05-04,24.0,25.0,1.5791666666666666,0
2013-05-05,24.0,26.0,6.013611111111112,0
2013-05-06,24.0,24.0,1.1097222222222225,0
2013-05-07,24.0,24.0,4.182777777777778,1
2013-05-08,24.0,24.0,5.297777777777778,0
2013-05-09,22.0,25.0,4.470833333333333,0
2013-05-10,24.0,24.0,5.7219444444444445,0
2013-05-11,24.0,24.0,4.612222222222222,0
2013-05-12,24.0,51.0,4.496111111111111,0
2013-05-13,24.0,27.0,4.914722222222222,1
2013-05-14,21.0,41.0,6.400555555555556,1
2013-05-15,24.0,26.0,8.338888888888889,0
2013-05-16,24.0,24.0,3.8397222222222234,0
2013-05-17,18.0,18.0,1.0130555555555556,0
2013-05-18,25.0,24.0,2.25,0
2013-05-19,25.0,35.0,3.2075,0
2013-05-20,24.0,24.0,3.0175,0
2013-05-21,24.0,31.0,5.990555555555556,0
2013-05-22,23.0,22.0,6.559444444444444,0
2013-05-23,21.0,24.0,2.7225,0
2013-05-24,124.0,704.0,0.2241666666666666,0
2013-05-25,24.0,110.0,5.035833333333334,0
2013-05-26,2.0,2.0,0.8627777777777778,0
2013-05-27,,,,0
2013-05-28,,,,1
2013-05-29,,,0.3138888888888889,1
2013-05-30,,,0.4394444444444444,0
2013-05-31,,,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
