date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,25.0,61.0,4.373888888888889,0
2013-03-25,,,,
2013-03-26,3.0,18.0,,
2013-03-27,25.0,61.0,4.373888888888889,0
2013-03-28,27.0,41.0,7.888611111111111,0
2013-03-29,25.0,80.0,6.176666666666667,1
2013-03-30,30.0,75.0,9.024166666666666,0
2013-03-31,24.0,24.0,4.0225,0
2013-04-01,24.0,24.0,9.725555555555555,2
2013-04-02,24.0,24.0,8.233888888888888,0
2013-04-03,24.0,24.0,12.184722222222222,0
2013-04-04,74.0,380.0,9.180555555555555,0
2013-04-05,59.0,100.0,8.617222222222223,2
2013-04-06,40.0,73.0,5.116666666666666,0
2013-04-07,25.0,64.0,1.255,0
2013-04-08,30.0,46.0,6.028611111111111,3
2013-04-09,27.0,64.0,5.816111111111111,1
2013-04-10,31.0,77.0,3.3694444444444445,1
2013-04-11,30.0,108.0,2.883611111111111,1
2013-04-12,25.0,91.0,5.848888888888889,2
2013-04-13,29.0,159.0,5.351111111111111,0
2013-04-14,25.0,101.0,6.799444444444444,0
2013-04-15,25.0,296.0,7.450555555555556,3
2013-04-16,13.0,128.0,4.721666666666667,1
2013-04-17,26.0,99.0,4.3975,1
2013-04-18,27.0,143.0,8.277222222222223,1
2013-04-19,24.0,128.0,10.507222222222222,2
2013-04-20,28.0,111.0,6.1825,0
2013-04-21,25.0,78.0,2.8361111111111112,0
2013-04-22,23.0,25.0,5.166944444444445,3
2013-04-23,25.0,39.0,13.378333333333334,1
2013-04-24,21.0,36.0,4.219722222222222,0
2013-04-25,23.0,39.0,9.632222222222222,1
2013-04-26,24.0,35.0,11.563611111111111,2
2013-04-27,31.0,65.0,6.3966666666666665,0
2013-04-28,24.0,80.0,3.105,0
2013-04-29,24.0,42.0,7.97,2
2013-04-30,24.0,50.0,13.432222222222222,2
2013-05-01,25.0,93.0,2.383888888888889,0
2013-05-02,28.0,50.0,15.5925,1
2013-05-03,26.0,76.0,11.717777777777778,2
2013-05-04,27.0,53.0,5.079166666666667,0
2013-05-05,24.0,40.0,4.321388888888889,0
2013-05-06,25.0,45.0,5.700833333333334,2
2013-05-07,24.0,37.0,4.605555555555555,2
2013-05-08,25.0,53.0,7.9125,1
2013-05-09,21.0,45.0,6.687222222222222,1
2013-05-10,53.0,33.0,6.113611111111111,2
2013-05-11,24.0,48.0,0.3761111111111111,0
2013-05-12,30.0,51.0,3.939722222222223,0
2013-05-13,31.0,36.0,7.273333333333333,2
2013-05-14,12.0,10.0,4.753611111111111,1
2013-05-15,37.0,66.0,4.8225,0
2013-05-16,25.0,63.0,9.748055555555556,2
2013-05-17,29.0,47.0,10.066944444444443,2
2013-05-18,19.0,54.0,9.031944444444443,0
2013-05-19,25.0,44.0,5.890555555555555,0
2013-05-20,27.0,55.0,5.805,0
2013-05-21,23.0,33.0,8.710833333333333,0
2013-05-22,24.0,46.0,5.213888888888889,0
2013-05-23,13.0,15.0,3.2980555555555555,0
2013-05-24,24.0,40.0,8.338333333333333,1
2013-05-25,24.0,32.0,6.1738888888888885,0
2013-05-26,22.0,35.0,3.945555555555556,0
2013-05-27,24.0,51.0,6.678888888888889,0
2013-05-28,24.0,50.0,6.838333333333333,0
2013-05-29,23.0,49.0,9.31277777777778,1
2013-05-30,25.0,49.0,5.814722222222223,0
2013-05-31,24.0,100.0,7.489166666666667,0
2013-06-01,17.0,45.0,1.788333333333333,0
2013-06-02,22.0,22.0,,0
2013-06-03,24.0,37.0,,0
2013-06-04,22.0,23.0,,0
2013-06-05,30.0,47.0,,0
2013-06-06,23.0,37.0,,
2013-06-07,24.0,33.0,,
2013-06-08,24.0,32.0,,
2013-06-09,22.0,25.0,,
2013-06-10,18.0,19.0,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
