date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,6.363888888888889,0
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,24.0,24.0,6.363888888888889,0
2013-03-28,13.0,13.0,2.8616666666666664,0
2013-03-29,24.0,24.0,8.783333333333333,0
2013-03-30,24.0,24.0,9.023055555555556,0
2013-03-31,24.0,24.0,11.82972222222222,0
2013-04-01,24.0,24.0,8.650833333333333,0
2013-04-02,11.0,11.0,1.72,0
2013-04-03,24.0,24.0,10.447777777777778,0
2013-04-04,4.0,4.0,1.2627777777777778,0
2013-04-05,24.0,24.0,6.856111111111111,0
2013-04-06,24.0,24.0,3.1552777777777776,0
2013-04-07,17.0,17.0,4.179166666666667,0
2013-04-08,24.0,24.0,8.322777777777778,1
2013-04-09,24.0,24.0,5.3100000000000005,0
2013-04-10,24.0,24.0,7.054444444444444,0
2013-04-11,4.0,4.0,0.9855555555555556,0
2013-04-12,7.0,7.0,3.8152777777777778,0
2013-04-13,24.0,24.0,4.713333333333333,0
2013-04-14,24.0,24.0,3.7647222222222223,0
2013-04-15,24.0,24.0,6.270833333333333,1
2013-04-16,24.0,24.0,4.058333333333334,0
2013-04-17,12.0,12.0,3.5,0
2013-04-18,5.0,5.0,2.672222222222222,0
2013-04-19,8.0,8.0,3.439722222222222,0
2013-04-20,6.0,6.0,3.7022222222222223,0
2013-04-21,19.0,19.0,1.064722222222222,0
2013-04-22,24.0,24.0,6.714722222222222,2
2013-04-23,20.0,20.0,5.567777777777778,0
2013-04-24,,,,0
2013-04-25,7.0,7.0,3.265833333333333,0
2013-04-26,,,,0
2013-04-27,,,,0
2013-04-28,6.0,6.0,4.767777777777778,0
2013-04-29,24.0,24.0,10.612222222222222,0
2013-04-30,18.0,18.0,4.619166666666667,2
2013-05-01,,,,1
2013-05-02,,,,0
2013-05-03,,,,0
2013-05-04,,,,0
2013-05-05,8.0,8.0,5.931388888888889,0
2013-05-06,18.0,18.0,5.9575000000000005,0
2013-05-07,6.0,6.0,1.8736111111111111,1
2013-05-08,24.0,24.0,3.779166666666667,0
2013-05-09,,,,0
2013-05-10,6.0,6.0,3.680833333333333,0
2013-05-11,,,,0
2013-05-12,,,,0
2013-05-13,15.0,15.0,2.8794444444444443,2
2013-05-14,24.0,24.0,3.1286111111111112,0
2013-05-15,24.0,24.0,6.222222222222222,0
2013-05-16,10.0,10.0,2.593888888888889,0
2013-05-17,,,,0
2013-05-18,,,,0
2013-05-19,,,,0
2013-05-20,,,,1
2013-05-21,,,,0
2013-05-22,,,,0
2013-05-23,,,,0
2013-05-24,,,,0
2013-05-25,2.0,2.0,0.7405555555555556,1
2013-05-26,2.0,2.0,0.3186111111111111,0
2013-05-27,3.0,3.0,0.8011111111111111,0
2013-05-28,20.0,20.0,2.931388888888889,0
2013-05-29,7.0,7.0,4.1658333333333335,1
2013-05-30,2.0,2.0,0.3663888888888889,0
2013-05-31,1.0,1.0,,0
2013-06-01,,,,0
2013-06-02,,,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
