date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,24.0,24.0,5.395555555555555,0
2013-03-25,24.0,24.0,,
2013-03-26,19.0,19.0,,
2013-03-27,24.0,24.0,5.395555555555555,0
2013-03-28,24.0,24.0,5.871388888888889,0
2013-03-29,24.0,24.0,6.484166666666667,0
2013-03-30,24.0,24.0,3.9588888888888887,0
2013-03-31,24.0,24.0,0.9158333333333332,1
2013-04-01,24.0,24.0,4.357777777777778,0
2013-04-02,24.0,24.0,8.315277777777778,0
2013-04-03,24.0,24.0,5.576666666666667,0
2013-04-04,24.0,24.0,7.034166666666667,0
2013-04-05,24.0,24.0,6.128333333333333,0
2013-04-06,24.0,24.0,3.3497222222222223,0
2013-04-07,24.0,24.0,2.551111111111111,1
2013-04-08,24.0,24.0,4.283055555555555,1
2013-04-09,24.0,24.0,4.910277777777778,0
2013-04-10,24.0,24.0,5.743333333333333,0
2013-04-11,24.0,24.0,6.316666666666666,0
2013-04-12,24.0,24.0,3.3708333333333336,0
2013-04-13,24.0,24.0,1.3480555555555556,0
2013-04-14,24.0,24.0,2.437777777777778,0
2013-04-15,24.0,24.0,5.661111111111111,1
2013-04-16,24.0,24.0,7.841944444444445,1
2013-04-17,24.0,24.0,4.509444444444444,1
2013-04-18,24.0,24.0,4.629722222222222,0
2013-04-19,24.0,24.0,5.761111111111111,0
2013-04-20,24.0,24.0,2.7372222222222224,0
2013-04-21,24.0,24.0,2.7816666666666667,0
2013-04-22,24.0,24.0,4.428611111111112,1
2013-04-23,24.0,24.0,5.783888888888889,0
2013-04-24,24.0,24.0,3.8125,0
2013-04-25,24.0,24.0,5.268055555555556,0
2013-04-26,24.0,24.0,8.100555555555555,0
2013-04-27,24.0,24.0,2.348888888888889,0
2013-04-28,24.0,24.0,3.9347222222222222,0
2013-04-29,24.0,24.0,4.5633333333333335,0
2013-04-30,24.0,24.0,3.2802777777777776,2
2013-05-01,24.0,24.0,4.958333333333333,0
2013-05-02,24.0,24.0,5.442777777777778,0
2013-05-03,24.0,24.0,4.889166666666666,0
2013-05-04,24.0,24.0,2.7275,0
2013-05-05,24.0,24.0,1.2852777777777775,0
2013-05-06,24.0,24.0,4.804166666666667,0
2013-05-07,24.0,24.0,4.958055555555555,2
2013-05-08,24.0,24.0,6.64638888888889,1
2013-05-09,24.0,24.0,4.263333333333334,0
2013-05-10,24.0,24.0,5.372777777777777,0
2013-05-11,24.0,24.0,3.9025,0
2013-05-12,24.0,24.0,1.395,0
2013-05-13,24.0,24.0,4.579722222222222,1
2013-05-14,24.0,24.0,4.338611111111112,1
2013-05-15,24.0,24.0,3.486388888888889,0
2013-05-16,24.0,24.0,4.750555555555556,0
2013-05-17,24.0,24.0,3.040555555555556,0
2013-05-18,24.0,24.0,1.7702777777777778,0
2013-05-19,24.0,24.0,5.333888888888889,0
2013-05-20,20.0,20.0,3.6025,0
2013-05-21,24.0,24.0,6.638055555555556,0
2013-05-22,20.0,20.0,6.573611111111111,0
2013-05-23,24.0,24.0,5.361111111111111,0
2013-05-24,24.0,24.0,7.008611111111112,0
2013-05-25,24.0,24.0,8.104722222222222,0
2013-05-26,22.0,22.0,10.208333333333334,0
2013-05-27,18.0,18.0,6.891666666666667,0
2013-05-28,24.0,24.0,9.380277777777778,1
2013-05-29,24.0,24.0,9.32972222222222,2
2013-05-30,21.0,21.0,4.563055555555556,0
2013-05-31,17.0,17.0,1.2355555555555555,0
2013-06-01,24.0,24.0,,1
2013-06-02,16.0,16.0,,0
2013-06-03,,,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
