day,level,uid
2013-03-27,1.0,u04
2013-03-27.1,4.0,u04
2013-03-28,1.0,u04
2013-03-29,2.0,u04
2013-03-29.1,1.0,u04
2013-03-30,1.0,u04
2013-03-31,1.0,u04
2013-04-02,3.0,u04
2013-04-02.1,1.0,u04
2013-04-03,2.0,u04
2013-04-04,1.0,u04c
2013-04-07,1.0,u04
2013-04-05,2.0,u04
2013-04-08,1.0,u04
2013-04-09,1.0,u04
2013-04-11,3.0,u04
2013-04-16,2.0,u04
2013-04-16.1,3.0,u04
2013-04-15,2.0,u04
2013-04-15.1,3.0,u04
2013-04-17,1.0,u04
2013-04-18,1.0,u04
2013-04-22,1.0,u04
2013-04-30,3.0,u04
2013-04-02.2,1.0,u45
2013-04-02.3,5.0,u45
2013-04-04.1,4.0,u45
2013-04-05.1,5.0,u45
2013-04-08.1,4.0,u45
2013-04-08.2,5.0,u45
2013-04-12,5.0,u45
2013-04-13,5.0,u45
2013-05-06,1.0,u45
2013-03-31.1,2.0,u41
2013-04-04.2,2.0,u41
2013-04-09.1,1.0,u41
2013-03-28.1,1.0,u52
2013-03-30.1,2.0,u52
2013-04-03.1,1.0,u52
2013-04-03.2,5.0,u52
2013-04-04.3,5.0,u52
2013-04-05.2,1.0,u52
2013-04-06,3.0,u52
2013-04-07.1,3.0,u52
2013-04-08.3,3.0,u52
2013-04-09.2,5.0,u52
2013-04-10,1.0,u52
2013-04-11.1,5.0,u52
2013-04-16.2,1.0,u52
2013-04-12.1,1.0,u52
2013-04-13.1,5.0,u52
2013-04-15.2,1.0,u52
2013-04-18.1,4.0,u52
2013-04-18.2,5.0,u52
2013-04-23,2.0,u52
2013-04-30.1,1.0,u52
2013-05-16,2.0,u52
2013-03-31.2,1.0,u36
2013-03-30.2,1.0,u36
2013-04-03.3,1.0,u36
2013-04-04.4,1.0,u36
2013-04-05.3,1.0,u36
2013-04-07.2,2.0,u36
2013-04-06.1,3.0,u36
2013-04-06.2,2.0,u36
2013-04-08.4,3.0,u36
2013-04-09.3,1.0,u36
2013-04-10.1,1.0,u36
2013-04-17.1,2.0,u36
2013-04-11.2,2.0,u36
2013-04-12.2,2.0,u36
2013-04-12.3,3.0,u36
2013-04-15.3,2.0,u36
2013-04-14,2.0,u36
2013-04-14.1,1.0,u36
2013-04-29,1.0,u36
2013-05-01,1.0,u36
2013-05-03,1.0,u36
2013-05-08,1.0,u36
2013-05-06.1,1.0,u36
2013-05-09,1.0,u36
2013-05-19,1.0,u36
2013-04-03.4,3.0,u43
2013-04-03.5,1.0,u43
2013-04-03.6,2.0,u43
2013-04-01,3.0,u43
2013-04-02.4,1.0,u43
2013-04-04.5,3.0,u43
2013-04-04.6,1.0,u43
2013-04-04.7,2.0,u43
2013-04-05.4,1.0,u43
2013-04-05.5,3.0,u43
2013-04-07.3,1.0,u43
2013-04-07.4,5.0,u43
2013-04-07.5,4.0,u43
2013-04-06.3,4.0,u43
2013-04-06.4,1.0,u43
2013-04-08.5,1.0,u43
2013-04-10.2,1.0,u43
2013-04-09.4,1.0,u43
2013-04-12.4,2.0,u43
2013-04-12.5,3.0,u43
2013-04-12.6,1.0,u43
2013-04-13.2,1.0,u43
2013-04-13.3,3.0,u43
2013-04-16.3,3.0,u43
2013-04-14.2,3.0,u43
2013-04-14.3,1.0,u43
2013-04-15.4,1.0,u43
2013-04-15.5,3.0,u43
2013-04-17.2,3.0,u43
2013-04-17.3,1.0,u43
2013-04-18.3,3.0,u43
2013-04-22.1,3.0,u43
2013-04-22.2,2.0,u43
2013-04-26,4.0,u43
2013-05-01.1,3.0,u43
2013-05-03.1,1.0,u43
2013-03-31.3,3.0,u22
2013-03-31.4,1.0,u22
2013-03-31.5,4.0,u22
2013-04-03.7,4.0,u22
2013-03-27.2,1.0,u22
2013-03-28.2,5.0,u22
2013-03-28.3,4.0,u22
2013-03-29.2,1.0,u22
2013-03-29.3,4.0,u22
2013-04-01.1,1.0,u22
2013-04-02.5,1.0,u22
2013-04-04.8,1.0,u22
2013-04-04.9,4.0,u22
2013-04-05.6,1.0,u22
2013-04-08.6,5.0,u22
2013-04-08.7,4.0,u22
2013-04-09.5,4.0,u22
2013-04-10.3,4.0,u22
2013-04-11.3,1.0,u22
2013-04-11.4,4.0,u22
2013-04-14.4,1.0,u22
2013-04-03.8,2.0,u50
2013-03-28.4,1.0,u27
2013-03-28.5,2.0,u27
2013-03-29.4,3.0,u27
2013-03-29.5,1.0,u27
2013-04-03.9,1.0,u27
2013-04-04.10,1.0,u27
2013-04-05.7,1.0,u27
2013-04-08.8,3.0,u27
2013-04-10.4,3.0,u27
2013-04-18.4,2.0,u27
2013-04-18.5,3.0,u27
2013-04-17.4,2.0,u27
2013-04-29.1,2.0,u27
2013-04-03.10,2.0,u51
2013-04-04.11,1.0,u51
2013-04-05.8,1.0,u51
2013-04-06.5,1.0,u51
2013-04-06.6,4.0,u51
2013-04-08.9,1.0,u51
2013-04-09.6,1.0,u51
2013-04-13.4,1.0,u51
2013-04-15.6,2.0,u51
2013-04-16.4,1.0,u51
2013-04-16.5,2.0,u51
2013-04-17.5,1.0,u51
2013-05-03.2,2.0,u51
2013-05-20,2.0,u51
2013-05-21,2.0,u51
2013-04-01.2,1.0,u59
2013-04-01.3,4.0,u59
2013-04-01.4,5.0,u59
2013-03-27.3,1.0,u59
2013-03-27.4,4.0,u59
2013-03-27.5,2.0,u59
2013-03-29.6,1.0,u59
2013-03-29.7,2.0,u59
2013-03-29.8,4.0,u59
2013-03-28.6,1.0,u59
2013-03-28.7,4.0,u59
2013-03-28.8,5.0,u59
2013-03-30.3,5.0,u59
2013-03-30.4,1.0,u59
2013-03-30.5,4.0,u59
2013-03-31.6,4.0,u59
2013-03-31.7,1.0,u59
2013-04-02.6,1.0,u59
2013-04-02.7,4.0,u59
2013-04-03.11,5.0,u59
2013-04-03.12,1.0,u59
2013-04-03.13,4.0,u59
2013-04-04.12,5.0,u59
2013-04-04.13,1.0,u59
2013-04-04.14,4.0,u59
2013-04-05.9,1.0,u59
2013-04-05.10,2.0,u59
2013-04-05.11,3.0,u59
2013-04-05.12,4.0,u59
2013-04-08.10,1.0,u59
2013-04-08.11,3.0,u59
2013-04-07.6,1.0,u59
2013-04-07.7,5.0,u59
2013-04-07.8,4.0,u59
2013-04-11.5,5.0,u59
