day,rate,uid
2013-05-23.6,2.0,u16
2013-05-24.6,1.0,u16
2013-05-28.1,3.0,u16
2013-03-28.24,3.0,u54
2013-03-30.25,2.0,u54
2013-04-05.39,3.0,u54
2013-04-10.25,3.0,u54
2013-04-11.22,1.0,u54
2013-04-12.22,3.0,u54
2013-04-15.24,1.0,u54
2013-04-16.20,1.0,u54
2013-04-17.28,3.0,u54
2013-03-29.31,2.0,u35
2013-03-29.32,1.0,u35
2013-04-03.39,2.0,u35
2013-04-02.18,1.0,u35
2013-04-04.30,1.0,u35
2013-04-05.40,1.0,u35
2013-04-14.15,1.0,u35
2013-04-09.27,1.0,u35
2013-04-10.26,1.0,u35
2013-04-12.23,1.0,u35
2013-04-15.25,1.0,u35
2013-04-16.21,1.0,u35
2013-04-18.21,1.0,u35
2013-04-29.18,1.0,u35
2013-04-30.12,3.0,u35
2013-05-02.6,2.0,u35
